AA,CAT,CS,FS,CA,DR,UM,ID,LAT,LON,NIC,NUCR/ NACV,FL,AC,M,Q,GNSS,HAE,VSRC,VR,VRF,HAB,TT,HDG,AST,IAS,TAS,GS,MACH,MCP,RA,TR,FMS,QNH,FCU,PA,PS,ACAS,ALRT,SPI,GR,IC,SSC,IFR,TS,RI,CC,SL,ADSB,BDS40,BDS50,BDS60,BDS65,FMT30,BDS61,WDIR,WSPD,TEMP,AGE_0,AGE_4,AGE_5,AGE_11,AGE_16,AGE_17_0e,AGE_17_0o,AGE_17_1,AGE_17_5e,AGE_17_5o,AGE_17_19,AGE_17_28,AGE_17_30,AGE_17_31,AGE_20_20,AGE_20_40,AGE_20_50,AGE_20_60,AGE_21_20,AGE_21_40,AGE_21_50,AGE_21_60,TIMESTAMP,TIMEOUT,STATION ID
966C69,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,54267,54315,54311,54246,322746,54246,54248,54387,,,54277,,,,315342,54367,54460,54466,315411,54419,54460,315320,1434773090,60,T-WARR5
966C69,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,54268,54316,54312,54247,322747,54247,54249,54388,,,54278,,,,315343,54368,54461,54467,315412,54420,54461,315321,1434773090,60,T-WARR5
966C69,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,54268,54316,54312,54247,322747,54247,54249,54388,,,54278,,,,315343,54368,54461,54467,315412,54420,54461,315321,1434773090,58,T-WARR5
966C69,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,54269,54317,54313,54248,322748,54248,54250,54389,,,54279,,,,315344,54369,54462,54468,315413,54421,54462,315322,1434773090,58,T-WARR5
966C69,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,54270,54318,54314,54249,322749,54249,54251,54390,,,54280,,,,315345,54370,54463,54469,315414,54422,54463,315323,1434773090,58,T-WARR5
966C69,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,54271,54319,54315,54250,322750,54250,54252,54391,,,54281,,,,315346,54371,54464,54470,315415,54423,54464,315324,1434773090,56,T-WARR5
966C69,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,54272,54320,54316,54251,322751,54251,54253,54392,,,54282,,,,315347,54372,54465,54471,315416,54424,54465,315325,1434773090,56,T-WARR5
966C69,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,54272,54320,54316,54251,322751,54251,54253,54392,,,54282,,,,315347,54372,54465,54471,315416,54424,54465,315325,1434773090,54,T-WARR5
966C69,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,54273,54321,54317,54252,322752,54252,54254,54393,,,54283,,,,315348,54373,54466,54472,315417,54425,54466,315326,1434773090,54,T-WARR5
966C69,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,54274,54322,54318,54253,322753,54253,54255,54394,,,54284,,,,315349,54374,54467,54473,315418,54426,54467,315327,1434773090,54,T-WARR5
