AA,CAT,CS,FS,CA,DR,UM,ID,LAT,LON,NIC,NUCR/ NACV,FL,AC,M,Q,GNSS,HAE,VSRC,VR,VRF,HAB,TT,HDG,AST,IAS,TAS,GS,MACH,MCP,RA,TR,FMS,QNH,FCU,PA,PS,ACAS,ALRT,SPI,GR,IC,SSC,IFR,TS,RI,CC,SL,ADSB,BDS40,BDS50,BDS60,BDS65,FMT30,BDS61,WDIR,WSPD,TEMP,AGE_0,AGE_4,AGE_5,AGE_11,AGE_16,AGE_17_0e,AGE_17_0o,AGE_17_1,AGE_17_5e,AGE_17_5o,AGE_17_19,AGE_17_28,AGE_17_30,AGE_17_31,AGE_20_20,AGE_20_40,AGE_20_50,AGE_20_60,AGE_21_20,AGE_21_40,AGE_21_50,AGE_21_60,TIMESTAMP,TIMEOUT,STATION ID
A93D98,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,123704,123729,123745,123704,,123713,123715,123741,,,123713,,,,,,,,,,,,1434443918,58,T-WARR5
A93D98,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,123705,123730,123746,123705,,123714,123716,123742,,,123714,,,,,,,,,,,,1434443918,58,T-WARR5
A93D98,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,123706,123731,123747,123706,,123715,123717,123743,,,123715,,,,,,,,,,,,1434443918,58,T-WARR5
A93D98,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,123706,123731,123747,123706,,123715,123717,123743,,,123715,,,,,,,,,,,,1434443918,56,T-WARR5
A93D98,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,123707,123732,123748,123707,,123716,123718,123744,,,123716,,,,,,,,,,,,1434443918,56,T-WARR5
A93D98,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,123708,123733,123749,123708,,123717,123719,123745,,,123717,,,,,,,,,,,,1434443918,56,T-WARR5
A93D98,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,123708,123733,123749,123708,,123717,123719,123745,,,123717,,,,,,,,,,,,1434443918,54,T-WARR5
A93D98,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,123709,123734,123750,123709,,123718,123720,123746,,,123718,,,,,,,,,,,,1434443918,54,T-WARR5
A93D98,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,123710,123735,123751,123710,,123719,123721,123747,,,123719,,,,,,,,,,,,1434443918,54,T-WARR5
A93D98,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,123710,123735,123751,123710,,123719,123721,123747,,,123719,,,,,,,,,,,,1434443918,52,T-WARR5
