AA,CAT,CS,FS,CA,DR,UM,ID,LAT,LON,NIC,NUCR/ NACV,FL,AC,M,Q,GNSS,HAE,VSRC,VR,VRF,HAB,TT,HDG,AST,IAS,TAS,GS,MACH,MCP,RA,TR,FMS,QNH,FCU,PA,PS,ACAS,ALRT,SPI,GR,IC,SSC,IFR,TS,RI,CC,SL,ADSB,BDS40,BDS50,BDS60,BDS65,FMT30,BDS61,WDIR,WSPD,TEMP,AGE_0,AGE_4,AGE_5,AGE_11,AGE_16,AGE_17_0e,AGE_17_0o,AGE_17_1,AGE_17_5e,AGE_17_5o,AGE_17_19,AGE_17_28,AGE_17_30,AGE_17_31,AGE_20_20,AGE_20_40,AGE_20_50,AGE_20_60,AGE_21_20,AGE_21_40,AGE_21_50,AGE_21_60,TIMESTAMP,TIMEOUT,STATION ID
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52411,52417,52469,52383,,52413,52413,52413,,,52395,,,,52417,,52678,52672,52600,52572,52650,,1434594413,38,T-WARR5
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52412,52418,52470,52384,,52414,52414,52414,,,52396,,,,52418,,52679,52673,52601,52573,52651,,1434594413,38,T-WARR5
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52413,52419,52471,52385,,52415,52415,52415,,,52397,,,,52419,,52680,52674,52602,52574,52652,,1434594413,36,T-WARR5
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52414,52420,52472,52386,,52416,52416,52416,,,52398,,,,52420,,52681,52675,52603,52575,52653,,1434594413,36,T-WARR5
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52415,52421,52473,52387,,52417,52417,52417,,,52399,,,,52421,,52682,52676,52604,52576,52654,,1434594413,34,T-WARR5
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52416,52422,52474,52388,,52418,52418,52418,,,52400,,,,52422,,52683,52677,52605,52577,52655,,1434594413,34,T-WARR5
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52416,52422,52474,52388,,52418,52418,52418,,,52400,,,,52422,,52683,52677,52605,52577,52655,,1434594413,32,T-WARR5
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52417,52423,52475,52389,,52419,52419,52419,,,52401,,,,52423,,52684,52678,52606,52578,52656,,1434594413,32,T-WARR5
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52418,52424,52476,52390,,52420,52420,52420,,,52402,,,,52424,,52685,52679,52607,52579,52657,,1434594413,32,T-WARR5
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52419,52425,52477,52391,,52421,52421,52421,,,52403,,,,52425,,52686,52680,52608,52580,52658,,1434594413,30,T-WARR5
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52420,52426,52478,52392,,52422,52422,52422,,,52404,,,,52426,,52687,52681,52609,52581,52659,,1434594413,30,T-WARR5
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52420,52426,52478,52392,,52422,52422,52422,,,52404,,,,52426,,52687,52681,52609,52581,52659,,1434594413,28,T-WARR5
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52421,52427,52479,52393,,52423,52423,52423,,,52405,,,,52427,,52688,52682,52610,52582,52660,,1434594413,28,T-WARR5
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52422,52428,52480,52394,,52424,52424,52424,,,52406,,,,52428,,52689,52683,52611,52583,52661,,1434594413,28,T-WARR5
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52423,52429,52481,52395,,52425,52425,52425,,,52407,,,,52429,,52690,52684,52612,52584,52662,,1434594413,26,T-WARR5
D92F71,,N/A,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0,0,0,0,,,,52424,52430,52482,52396,,52426,52426,52426,,,52408,,,,52430,,52691,52685,52613,52585,52663,,1434594413,26,T-WARR5
